participant,poste,session,round_number,understanding_faults,treatment,group_uid,paid_round,dictator,extraction,extraction_group,approbation,nb_approbation_yes_in_group,nb_approbation_no_in_group,approbation_group,extraction_dictateur,extraction_group_applied,extraction_applied,payoff,svo_group_uid,svo_choice_1,svo_choice_2,svo_choice_3,svo_choice_4,svo_choice_5,svo_choice_6,svo_mean_self,svo_mean_other,svo_score,svo_group_selected_choice,svo_group_selected_player,svo_group_selected_player_decision,svo_group_selected_player_payoff,svo_group_non_selected_player_payoff,NLE_nombre_cible,NLE_curseur_position,NLE_payoff,NLE_paid_decision,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,crt_score,nep_1,nep_2,nep_3,nep_4,nep_5,nep_6,nep_7,nep_8,nep_9,nep_10,nep_11,nep_12,nep_13,nep_14,nep_15,nep_score,year_of_birth,gender,nationality,marital_status,student,study_level,study_discipline,socioprofessional_group,experiment_participation
cf9sd7cr,leem7,rpejdnjv,1,1.0,0,rpejdnjv_1,8.0,1,3.0,12.0,,,,,,,,231.0,rpejdnjv_6,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,6.0,2.0,0.0,100.0,50.0,12.2,8.92,2.84,14.0,200.0,0.5,3.0,9.0,15.0,10.0,0.0,1.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,69.0,1996.0,0.0,FR,0.0,1.0,5.0,26.0,,1.0
d3a3pcnp,leem15,rpejdnjv,1,0.0,0,rpejdnjv_3,6.0,0,4.0,17.0,,,,,,,,213.0,rpejdnjv_5,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,6.0,1.0,0.0,100.0,50.0,12.2,9.87,2.88,11.0,2.0,0.25,5.0,4.0,15.0,20.0,0.0,6.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,59.0,1994.0,0.0,FR,0.0,0.0,5.0,2.0,5.0,1.0
lwd3fp9l,leem18,rpejdnjv,1,1.0,0,rpejdnjv_6,3.0,1,5.0,19.0,,,,,,,,206.0,rpejdnjv_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,5.0,2.0,0.0,100.0,50.0,12.2,100.0,0.0,14.0,200.0,0.5,3.0,18.0,15.0,20.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,45.0,1994.0,1.0,FR,2.0,1.0,5.0,7.0,,1.0
z6p7eajj,leem14,rpejdnjv,1,0.0,0,rpejdnjv_2,9.0,0,5.0,14.0,,,,,,,,262.0,rpejdnjv_4,0.0,8.0,5.0,4.0,4.0,2.0,82.667,69.667,31.05,2.0,2.0,8.0,100.0,50.0,12.2,22.91,2.46,11.0,1.0,0.5,2.0,4.0,15.0,20.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,2.0,5.0,59.0,2002.0,0.0,FR,0.0,1.0,1.0,6.0,,1.0
eh6ljriq,leem10,rpejdnjv,1,0.0,0,rpejdnjv_1,18.0,0,4.0,12.0,,,,,,,,258.0,rpejdnjv_9,4.0,5.0,3.0,7.0,2.0,2.0,84.5,54.833,7.974,3.0,1.0,3.0,63.0,94.0,12.2,12.45,2.99,12.0,200.0,0.5,3.0,9.0,30.0,10.0,1.0,0.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,48.0,1994.0,0.0,DZ,0.0,1.0,5.0,16.0,,1.0
vmt5487m,leem17,rpejdnjv,1,0.0,0,rpejdnjv_4,7.0,0,6.0,14.0,,,,,,,,285.0,rpejdnjv_3,4.0,8.0,8.0,8.0,0.0,0.0,92.5,50.0,0.0,5.0,1.0,0.0,100.0,50.0,12.2,44.51,1.38,10.0,200.0,10.0,2.0,4.0,8.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,46.0,2000.0,0.0,FR,0.0,1.0,3.0,15.0,,1.0
5jr55zaa,leem3,rpejdnjv,1,0.0,0,rpejdnjv_1,18.0,0,5.0,12.0,,,,,,,,285.0,rpejdnjv_8,0.0,8.0,8.0,3.0,0.0,8.0,86.333,70.5,29.433,3.0,2.0,8.0,85.0,85.0,12.2,16.39,2.79,4.0,2.0,0.5,3.0,6.0,30.0,20.0,0.0,3.0,4.0,2.0,5.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,5.0,70.0,1996.0,0.0,FR,0.0,1.0,5.0,26.0,,1.0
nwik6h47,leem13,rpejdnjv,1,1.0,0,rpejdnjv_5,9.0,0,6.0,14.0,,,,,,,,285.0,rpejdnjv_7,0.0,8.0,8.0,8.0,4.0,8.0,85.833,65.833,23.838,5.0,2.0,0.0,100.0,50.0,12.2,6.33,2.71,9.0,400.0,0.5,1.0,9.0,15.0,10.0,0.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,46.0,1997.0,1.0,FR,0.0,1.0,5.0,15.0,,1.0
zck3obfr,leem5,rpejdnjv,2,,0,rpejdnjv_5,,0,4.0,16.0,,,,,,,,222.0,rpejdnjv_5,0.0,8.0,8.0,3.0,4.0,8.0,82.167,74.667,37.482,6.0,1.0,0.0,100.0,50.0,39.87,31.88,2.6,,2.0,0.25,5.0,12.0,30.0,10.0,0.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,58.0,1994.0,1.0,FR,0.0,1.0,6.0,17.0,,1.0
nkp7u01x,leem11,rpejdnjv,2,,0,rpejdnjv_3,,0,7.0,19.0,,,,,,,,228.0,rpejdnjv_9,0.0,8.0,8.0,7.0,0.0,0.0,91.833,57.667,10.386,3.0,1.0,3.0,63.0,94.0,39.87,39.62,2.99,,200.0,0.5,3.0,9.0,29.0,10.0,0.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,58.0,2000.0,0.0,BI,0.0,1.0,3.0,6.0,,1.0
pvcmlcbn,leem1,rpejdnjv,2,,0,rpejdnjv_6,,1,7.0,24.0,,,,,,,,150.0,rpejdnjv_3,0.0,8.0,8.0,5.0,0.0,8.0,87.833,67.0,24.196,5.0,1.0,0.0,100.0,50.0,39.87,44.65,2.76,,400.0,0.5,5.0,4.0,29.0,20.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,61.0,1999.0,1.0,DZ,0.0,1.0,2.0,12.0,,1.0
2nz72whh,leem4,rpejdnjv,2,,0,rpejdnjv_2,,1,5.0,18.0,,,,,,,,217.0,rpejdnjv_7,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,5.0,2.0,0.0,100.0,50.0,39.87,33.78,2.7,,2.0,0.25,5.0,3.0,31.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,52.0,1995.0,1.0,FR,0.0,1.0,3.0,6.0,,1.0
ya5a8sr3,leem9,rpejdnjv,2,,0,rpejdnjv_4,,0,3.0,13.0,,,,,,,,224.0,rpejdnjv_6,1.0,8.0,8.0,8.0,0.0,0.0,92.5,54.333,5.821,6.0,2.0,0.0,100.0,50.0,39.87,43.29,2.83,,400.0,0.5,3.0,6.0,15.0,10.0,0.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,5.0,56.0,1998.0,0.0,HT,0.0,1.0,2.0,0.0,,1.0
weolk6ul,leem16,rpejdnjv,2,,0,rpejdnjv_3,,0,7.0,19.0,,,,,,,,228.0,rpejdnjv_2,0.0,8.0,8.0,3.0,0.0,3.0,87.833,66.833,23.986,5.0,2.0,0.0,100.0,50.0,39.87,27.39,2.38,,200.0,0.5,8.0,6.0,15.0,20.0,0.0,2.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,5.0,59.0,1998.0,0.0,MA,0.0,1.0,5.0,11.0,,1.0
7kvnqzhv,leem8,rpejdnjv,2,,0,rpejdnjv_2,,0,7.0,18.0,,,,,,,,244.0,rpejdnjv_8,0.0,8.0,8.0,3.0,4.0,5.0,83.167,72.5,34.152,3.0,2.0,8.0,85.0,85.0,39.87,58.24,2.08,,200.0,0.5,3.0,9.0,30.0,10.0,0.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,46.0,1995.0,0.0,BJ,0.0,1.0,3.0,8.0,,0.0
ybkwbvii,leem6,rpejdnjv,2,,0,rpejdnjv_5,,1,6.0,16.0,,,,,,,,258.0,rpejdnjv_10,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,3.0,2.0,8.0,85.0,85.0,39.87,29.98,2.51,,60.0,5.5,2.0,2.0,30.0,10.0,0.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,53.0,1995.0,0.0,IT,0.0,1.0,5.0,6.0,,1.0
emg0d2w7,leem2,rpejdnjv,2,,0,rpejdnjv_6,,0,9.0,24.0,,,,,,,,150.0,rpejdnjv_10,0.0,8.0,8.0,6.0,0.0,5.0,89.5,63.0,18.217,3.0,2.0,8.0,85.0,85.0,39.87,81.33,0.93,,200.0,0.5,3.0,12.0,30.0,20.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,54.0,1992.0,0.0,CD,0.0,1.0,5.0,6.0,,1.0
wg2u2li2,leem12,rpejdnjv,2,,0,rpejdnjv_4,,0,4.0,13.0,,,,,,,,249.0,rpejdnjv_4,0.0,8.0,8.0,0.0,4.0,8.0,80.0,80.0,45.0,2.0,2.0,8.0,100.0,50.0,39.87,36.09,2.81,,2.0,0.5,5.0,4.0,29.0,20.0,1.0,5.0,3.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,66.0,1998.0,1.0,FR,0.0,1.0,4.0,2.0,,1.0
cf9sd7cr,leem7,rpejdnjv,2,,0,rpejdnjv_1,,0,5.0,13.0,,,,,,,,273.0,rpejdnjv_6,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,6.0,2.0,0.0,100.0,50.0,39.87,34.87,2.75,,200.0,0.5,3.0,9.0,15.0,10.0,0.0,1.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,69.0,1996.0,0.0,FR,0.0,1.0,5.0,26.0,,1.0
d3a3pcnp,leem15,rpejdnjv,2,,0,rpejdnjv_3,,1,5.0,19.0,,,,,,,,206.0,rpejdnjv_5,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,6.0,1.0,0.0,100.0,50.0,39.87,35.95,2.8,,2.0,0.25,5.0,4.0,15.0,20.0,0.0,6.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,59.0,1994.0,0.0,FR,0.0,0.0,5.0,2.0,5.0,1.0
lwd3fp9l,leem18,rpejdnjv,2,,0,rpejdnjv_6,,0,8.0,24.0,,,,,,,,150.0,rpejdnjv_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,5.0,2.0,0.0,100.0,50.0,39.87,23.32,2.17,,200.0,0.5,3.0,18.0,15.0,20.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,45.0,1994.0,1.0,FR,2.0,1.0,5.0,7.0,,1.0
z6p7eajj,leem14,rpejdnjv,2,,0,rpejdnjv_2,,0,6.0,18.0,,,,,,,,231.0,rpejdnjv_4,0.0,8.0,5.0,4.0,4.0,2.0,82.667,69.667,31.05,2.0,2.0,8.0,100.0,50.0,39.87,35.68,2.79,,1.0,0.5,2.0,4.0,15.0,20.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,2.0,5.0,59.0,2002.0,0.0,FR,0.0,1.0,1.0,6.0,,1.0
eh6ljriq,leem10,rpejdnjv,2,,0,rpejdnjv_1,,0,5.0,13.0,,,,,,,,273.0,rpejdnjv_9,4.0,5.0,3.0,7.0,2.0,2.0,84.5,54.833,7.974,3.0,1.0,3.0,63.0,94.0,39.87,35.68,2.79,,200.0,0.5,3.0,9.0,30.0,10.0,1.0,0.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,48.0,1994.0,0.0,DZ,0.0,1.0,5.0,16.0,,1.0
vmt5487m,leem17,rpejdnjv,2,,0,rpejdnjv_4,,1,6.0,13.0,,,,,,,,298.0,rpejdnjv_3,4.0,8.0,8.0,8.0,0.0,0.0,92.5,50.0,0.0,5.0,1.0,0.0,100.0,50.0,39.87,59.46,2.02,,200.0,10.0,2.0,4.0,8.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,46.0,2000.0,0.0,FR,0.0,1.0,3.0,15.0,,1.0
5jr55zaa,leem3,rpejdnjv,2,,0,rpejdnjv_1,,1,3.0,13.0,,,,,,,,224.0,rpejdnjv_8,0.0,8.0,8.0,3.0,0.0,8.0,86.333,70.5,29.433,3.0,2.0,8.0,85.0,85.0,39.87,32.29,2.62,,2.0,0.5,3.0,6.0,30.0,20.0,0.0,3.0,4.0,2.0,5.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,5.0,70.0,1996.0,0.0,FR,0.0,1.0,5.0,26.0,,1.0
nwik6h47,leem13,rpejdnjv,2,,0,rpejdnjv_5,,0,6.0,16.0,,,,,,,,258.0,rpejdnjv_7,0.0,8.0,8.0,8.0,4.0,8.0,85.833,65.833,23.838,5.0,2.0,0.0,100.0,50.0,39.87,40.44,2.97,,400.0,0.5,1.0,9.0,15.0,10.0,0.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,46.0,1997.0,1.0,FR,0.0,1.0,5.0,15.0,,1.0
zck3obfr,leem5,rpejdnjv,3,,0,rpejdnjv_5,,1,4.0,17.0,,,,,,,,213.0,rpejdnjv_5,0.0,8.0,8.0,3.0,4.0,8.0,82.167,74.667,37.482,6.0,1.0,0.0,100.0,50.0,68.02,75.08,2.65,,2.0,0.25,5.0,12.0,30.0,10.0,0.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,58.0,1994.0,1.0,FR,0.0,1.0,6.0,17.0,,1.0
nkp7u01x,leem11,rpejdnjv,3,,0,rpejdnjv_3,,0,7.0,22.0,,,,,,,,181.0,rpejdnjv_9,0.0,8.0,8.0,7.0,0.0,0.0,91.833,57.667,10.386,3.0,1.0,3.0,63.0,94.0,68.02,61.77,2.69,,200.0,0.5,3.0,9.0,29.0,10.0,0.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,58.0,2000.0,0.0,BI,0.0,1.0,3.0,6.0,,1.0
pvcmlcbn,leem1,rpejdnjv,3,,0,rpejdnjv_6,,0,7.0,21.0,,,,,,,,197.0,rpejdnjv_3,0.0,8.0,8.0,5.0,0.0,8.0,87.833,67.0,24.196,5.0,1.0,0.0,100.0,50.0,68.02,63.81,2.79,,400.0,0.5,5.0,4.0,29.0,20.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,61.0,1999.0,1.0,DZ,0.0,1.0,2.0,12.0,,1.0
2nz72whh,leem4,rpejdnjv,3,,0,rpejdnjv_2,,1,7.0,18.0,,,,,,,,244.0,rpejdnjv_7,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,5.0,2.0,0.0,100.0,50.0,68.02,64.76,2.84,,2.0,0.25,5.0,3.0,31.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,52.0,1995.0,1.0,FR,0.0,1.0,3.0,6.0,,1.0
ya5a8sr3,leem9,rpejdnjv,3,,0,rpejdnjv_4,,0,5.0,22.0,,,,,,,,172.0,rpejdnjv_6,1.0,8.0,8.0,8.0,0.0,0.0,92.5,54.333,5.821,6.0,2.0,0.0,100.0,50.0,68.02,76.58,2.57,,400.0,0.5,3.0,6.0,15.0,10.0,0.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,5.0,56.0,1998.0,0.0,HT,0.0,1.0,2.0,0.0,,1.0
weolk6ul,leem16,rpejdnjv,3,,0,rpejdnjv_3,,1,8.0,22.0,,,,,,,,186.0,rpejdnjv_2,0.0,8.0,8.0,3.0,0.0,3.0,87.833,66.833,23.986,5.0,2.0,0.0,100.0,50.0,68.02,67.48,2.97,,200.0,0.5,8.0,6.0,15.0,20.0,0.0,2.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,5.0,59.0,1998.0,0.0,MA,0.0,1.0,5.0,11.0,,1.0
7kvnqzhv,leem8,rpejdnjv,3,,0,rpejdnjv_2,,0,7.0,18.0,,,,,,,,244.0,rpejdnjv_8,0.0,8.0,8.0,3.0,4.0,5.0,83.167,72.5,34.152,3.0,2.0,8.0,85.0,85.0,68.02,10.68,0.13,,200.0,0.5,3.0,9.0,30.0,10.0,0.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,46.0,1995.0,0.0,BJ,0.0,1.0,3.0,8.0,,0.0
ybkwbvii,leem6,rpejdnjv,3,,0,rpejdnjv_5,,0,5.0,17.0,,,,,,,,228.0,rpejdnjv_10,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,3.0,2.0,8.0,85.0,85.0,68.02,0.0,0.0,,60.0,5.5,2.0,2.0,30.0,10.0,0.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,53.0,1995.0,0.0,IT,0.0,1.0,5.0,6.0,,1.0
emg0d2w7,leem2,rpejdnjv,3,,0,rpejdnjv_6,,0,6.0,21.0,,,,,,,,190.0,rpejdnjv_10,0.0,8.0,8.0,6.0,0.0,5.0,89.5,63.0,18.217,3.0,2.0,8.0,85.0,85.0,68.02,67.61,2.98,,200.0,0.5,3.0,12.0,30.0,20.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,54.0,1992.0,0.0,CD,0.0,1.0,5.0,6.0,,1.0
wg2u2li2,leem12,rpejdnjv,3,,0,rpejdnjv_4,,0,10.0,22.0,,,,,,,,195.0,rpejdnjv_4,0.0,8.0,8.0,0.0,4.0,8.0,80.0,80.0,45.0,2.0,2.0,8.0,100.0,50.0,68.02,74.41,2.68,,2.0,0.5,5.0,4.0,29.0,20.0,1.0,5.0,3.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,66.0,1998.0,1.0,FR,0.0,1.0,4.0,2.0,,1.0
cf9sd7cr,leem7,rpejdnjv,3,,0,rpejdnjv_1,,0,5.0,15.0,,,,,,,,251.0,rpejdnjv_6,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,6.0,2.0,0.0,100.0,50.0,68.02,63.26,2.76,,200.0,0.5,3.0,9.0,15.0,10.0,0.0,1.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,69.0,1996.0,0.0,FR,0.0,1.0,5.0,26.0,,1.0
d3a3pcnp,leem15,rpejdnjv,3,,0,rpejdnjv_3,,0,7.0,22.0,,,,,,,,181.0,rpejdnjv_5,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,6.0,1.0,0.0,100.0,50.0,68.02,78.35,2.48,,2.0,0.25,5.0,4.0,15.0,20.0,0.0,6.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,59.0,1994.0,0.0,FR,0.0,0.0,5.0,2.0,5.0,1.0
